
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
B8:EC:A3:AC:5C:1E, 2018-10-22 21:11:14, 2018-10-22 21:11:14,  9,  -1, OPN, ,   , -90,        0,        1, 172. 30.  0.  1,   0, , 
F2:99:B6:2A:B3:F2, 2018-10-22 21:11:06, 2018-10-22 21:11:06,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
5C:E2:8C:60:12:2E, 2018-10-22 21:11:14, 2018-10-22 21:11:32,  9,  -1, OPN, ,   , -88,        0,        2, 172. 30.  0.  1,   0, , 
C0:7B:BC:23:D1:C1, 2018-10-22 21:11:06, 2018-10-22 21:11:41,  1, 195, WPA2, CCMP, MGT, -78,        6,        0,   0.  0.  0.  0,   1, , 
C0:7B:BC:23:D1:C0, 2018-10-22 21:11:06, 2018-10-22 21:11:24,  1, 195, WPA2, CCMP, MGT, -78,        4,        0,   0.  0.  0.  0,   1, , 
C0:7B:BC:23:D1:C2, 2018-10-22 21:11:06, 2018-10-22 21:11:41,  1, 195, WPA2, CCMP,PSK, -78,        4,        0,   0.  0.  0.  0,   1, , 
38:20:56:D4:89:C0, 2018-10-22 21:11:24, 2018-10-22 21:11:24,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
38:20:56:D4:8A:60, 2018-10-22 21:11:38, 2018-10-22 21:11:38,  6,  -1, OPN, ,   ,  -1,        0,        2,  10.  0. 10.230,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
04:1B:6D:E1:51:42, 2018-10-22 21:11:15, 2018-10-22 21:11:15, -92,        1, (not associated) ,
AA:A0:5A:DC:92:0D, 2018-10-22 21:11:19, 2018-10-22 21:11:19, -90,        3, (not associated) ,VG-SPHONE
9C:FC:01:74:8E:B1, 2018-10-22 21:11:38, 2018-10-22 21:11:38, -88,        2, 38:20:56:D4:8A:60,
F4:A9:97:28:42:1E, 2018-10-22 21:11:13, 2018-10-22 21:11:13, -87,        1, (not associated) ,BJNPSETUP
3C:2E:FF:A0:87:20, 2018-10-22 21:11:24, 2018-10-22 21:11:35, -87,        2, 5C:E2:8C:60:15:8E,Carlton_WLAN
00:95:69:25:69:AF, 2018-10-22 21:11:34, 2018-10-22 21:11:34, -82,        1, (not associated) ,
80:58:F8:9B:E3:1A, 2018-10-22 21:11:28, 2018-10-22 21:11:28, -79,        3, (not associated) ,
8C:F5:A3:51:70:80, 2018-10-22 21:11:04, 2018-10-22 21:11:04, -67,        1, (not associated) ,Maritim-Free-WIFI
FC:2A:9C:79:EF:67, 2018-10-22 21:11:21, 2018-10-22 21:11:38,  -1,       16, 38:20:56:D4:7B:82,
EE:5D:0D:E7:F7:6C, 2018-10-22 21:11:41, 2018-10-22 21:11:41, -83,        1, (not associated) ,

    2, 38:20:56:D4:8A:60,

